shipment_id,order_id,ship_date,delivery_date,carrier,shipping_cost,delivery_status
SHP002258,ORD002258,04-02-2022,09 Feb 2022,FedEx,634.3,In Transit
SHP002259,ORD002259,07/01/2022,2022/07/04,INDIAPOST,74.5,Delayed
SHP002260,ORD002260,21/04/2022,,FEDEX,125.68,In Transit
SHP002261,ORD002261,2022/12/25,02/01/2023,XpressBees,277.84,DELAYED
SHP002262,ORD002262,2023/05/02,04-05-2023,delhivery,555.24,in transit
SHP002263,ORD002263,2022/06/04,2022-06-10,Delhivery,329.73,Delivered
SHP002264,ORD002264,06/06/2022,11 Jun 2022,DTDC,331.32,Lost
SHP002265,ORD002265,2023-04-05,2023-04-10,delhivery,672.55,Returned to Origin
SHP002266,ORD002266,06 Jul 2022,16-07-2022,Delhivery,285.37,Delayed
SHP002267,ORD002267,21-12-2022,2022-12-26,IndiaPost,233.48,Delivered
SHP002268,ORD002268,06-06-2023,11/06/2023,dtdc,800.22,Returned to Origin
SHP002269,ORD002269,25/06/2022,2022-06-28,Delhivery,155.96,Returned to Origin
SHP002270,ORD002270,2022-09-03,09/10/2022,BlueDart,780.15,DELIVERED
SHP002271,ORD002271,2022-04-01,05-04-2022,Delhivery,778.27,Returned to Origin
SHP002272,ORD002272,02 Mar 2024,09/03/2024,BlueDart,94.86,Delivered
SHP002273,ORD002273,2023-01-21,24/01/2023,EKART,174.51,Delayed
SHP002274,ORD002274,21-11-2024,11/28/2024,XpressBees,505.77,Delivered
SHP002275,ORD002275,16/04/2023,19/04/2023,FedEx,224.25,Delivered
SHP002276,ORD002276,28-09-2022,01/10/2022,XpressBees,824.9,Returned to Origin
SHP002277,ORD002277,2023-02-04,02/07/2023,INDIAPOST,550.01,In Transit
SHP002278,ORD002278,2022-05-09,2022/05/11,XpressBees,72.92,delivered
SHP002279,ORD002279,20 Nov 2022,22 Nov 2022,Delhivery,226.62,Returned to Origin
SHP002280,ORD002280,2024/03/04,0000-00-00,BLUEDART,161.95,lost
SHP002281,ORD002281,31/05/2023,2023-06-15,BLUEDART,878.16,LOST
SHP002282,ORD002282,03/06/2024,12/03/2024,DTDC,431.26,Lost
SHP002283,ORD002283,2022/02/10,13-02-2022,BlueDart,611.8,In Transit
SHP002284,ORD002284,2022/05/29,2022/06/13,EKART,708.2,Returned to Origin
SHP002285,ORD002285,21 Sep 2023,2023-09-25,DTDC,237.23,Returned to Origin
SHP002286,ORD002286,17 Oct 2023,10/27/2023,DTDC,,Returned to Origin
SHP002287,ORD002287,06/27/2022,07/05/2022,FedEx,565.52,Lost
SHP002288,ORD002288,2022/11/11,12/11/2022,XpressBees,748.82,Lost
SHP002289,ORD002289,2023/05/01,04-05-2023,FedEx,433.38,DELAYED
SHP002290,ORD002290,2023/10/11,2023/10/16,BlueDart,,in transit
SHP002291,ORD002291,2022/02/01,08/02/2022,Ekart,303.66,DELIVERED
SHP002292,ORD002292,2022/06/25,2022/06/28,IndiaPost,281.55,In Transit
SHP002293,ORD002293,12/12/2022,2022/12/13,FEDEX,609.99,Delayed
SHP002294,ORD002294,2023/11/27,2023-12-04,FEDEX,235.33,Delivered
SHP002295,ORD002295,01/28/2022,02/04/2022,IndiaPost,142.75,lost
SHP002296,ORD002296,15 Jun 2022,2022-06-17,IndiaPost,124.35,In Transit
SHP002297,ORD002297,2022/05/13,05/15/2022,DTDC,129.47,IN TRANSIT
SHP002298,ORD002298,20 Jul 2023,30 Jul 2023,FedEx,703.74,Lost
SHP002299,ORD002299,01/31/2022,2022-02-01,Delhivery,659.24,in transit
SHP002300,ORD002300,2022-05-27,02 Jun 2022,XpressBees,259.46,DELIVERED
SHP002301,ORD002301,10/30/2022,2022/11/06,Ekart,569.98,DELAYED
SHP002302,ORD002302,,03 Sep 2022,indiapost,406.94,Lost
SHP002303,ORD002303,07/23/2024,2024-07-27,FEDEX,334.36,RETURNED TO ORIGIN
SHP002304,ORD002304,2023/09/06,11 Sep 2023,XPRESSBEES,772.91,In Transit
SHP002305,ORD002305,0000-00-00,06 Dec 2022,XpressBees,804.69,lost
SHP002306,ORD002306,14 Jan 2024,2024-01-21,BlueDart,692.83,in transit
SHP002307,ORD002307,08/18/2023,24 Aug 2023,BlueDart,148.22,in transit
SHP002308,ORD002308,2022-09-30,2022/10/10,fedex,483.8,returned to origin
SHP002309,ORD002309,01-02-2022,11/02/2022,DTDC,483.55,delayed
SHP002310,ORD002310,2023/09/14,22/09/2023,XpressBees,51.45,Delayed
SHP002311,ORD002311,,25-04-2023,FedEx,846.94,delayed
SHP002312,ORD002312,23 May 2024,26-05-2024,Ekart,48.61,delivered
SHP002313,ORD002313,04 Oct 2024,10/09/2024,BLUEDART,778.92,Returned to Origin
SHP002314,ORD002314,25 Oct 2023,2023/10/28,FedEx,46.53,In Transit
SHP002315,ORD002315,07/15/2022,2022/07/17,DTDC,385.95,DELIVERED
SHP002316,ORD002316,30-05-2024,2024/06/02,INDIAPOST,790.24,returned to origin
SHP002317,ORD002317,2022-10-02,17-10-2022,Ekart,97.25,Lost
SHP002318,ORD002318,2024/08/18,2024-08-25,IndiaPost,144.52,returned to origin
SHP002319,ORD002319,12-07-2022,22-07-2022,XpressBees,805.65,DELIVERED
SHP002320,ORD002320,21-06-2023,29 Jun 2023,Delhivery,480.73,In Transit
SHP002321,ORD002321,21-11-2024,2024/11/29,FedEx,871.61,Lost
SHP002322,ORD002322,29-06-2024,06/30/2024,FedEx,898.58,Delivered
SHP002323,ORD002323,27/11/2024,2024-12-07,Delhivery,271.98,RETURNED TO ORIGIN
SHP002324,ORD002324,2022-03-06,14/03/2022,DTDC,221.49,DELIVERED
SHP002325,ORD002325,2023/11/22,2023/11/23,IndiaPost,632.05,In Transit
SHP002326,ORD002326,24/11/2024,30 Nov 2024,FedEx,815.53,Delayed
SHP002327,ORD002327,2022/05/03,2022-05-18,Delhivery,,RETURNED TO ORIGIN
SHP002328,ORD002328,24 Dec 2022,25/12/2022,Ekart,74.5,Delivered
SHP002329,ORD002329,2024-07-31,08/02/2024,EKART,365.23,in transit
SHP002330,ORD002330,2023-09-03,2023-09-05,IndiaPost,512.78,In Transit
SHP002331,ORD002331,29/09/2023,01 Oct 2023,FedEx,842.42,IN TRANSIT
SHP002332,ORD002332,04/12/2023,18/04/2023,DTDC,,Lost
SHP002333,ORD002333,,2022-10-07,bluedart,412.62,In Transit
SHP002334,ORD002334,09/04/2023,05-09-2023,delhivery,578.3,delayed
SHP002335,ORD002335,15 Oct 2023,2023/10/23,FedEx,516.95,Returned to Origin
SHP002336,ORD002336,2023/11/29,12/14/2023,XpressBees,346.51,DELAYED
SHP002337,ORD002337,06 Mar 2023,03/14/2023,IndiaPost,761.08,delayed
SHP002338,ORD002338,2024-09-14,09/19/2024,Ekart,730.59,Delivered
SHP002339,ORD002339,16/12/2022,31 Dec 2022,delhivery,542.76,in transit
SHP002340,ORD002340,06/18/2022,25/06/2022,IndiaPost,208.09,DELIVERED
SHP002341,ORD002341,13 Jul 2023,14-07-2023,Ekart,609.48,Delayed
SHP002342,ORD002342,2022/06/16,2022-06-19,Delhivery,439.59,Returned to Origin
SHP002343,ORD002343,11 Jun 2022,06/14/2022,IndiaPost,229.6,Delayed
SHP002344,ORD002344,03/13/2024,2024-03-23,XpressBees,332.69,delivered
SHP002345,ORD002345,2022-04-15,23-04-2022,Delhivery,85.65,lost
SHP002346,ORD002346,22 Sep 2022,29-09-2022,XpressBees,645.83,lost
SHP002347,ORD002347,08/01/2022,03-08-2022,IndiaPost,303.12,Returned to Origin
SHP002348,ORD002348,2022-08-26,27-08-2022,IndiaPost,622.35,Lost
SHP002349,ORD002349,22-03-2022,25-03-2022,XpressBees,470.57,In Transit
SHP002350,ORD002350,2022/09/01,2022-09-05,FedEx,708.26,In Transit
SHP002351,ORD002351,03/05/2024,05/04/2024,FedEx,617.42,Delivered
SHP002352,ORD002352,18-06-2022,25/06/2022,DTDC,846.66,DELAYED
SHP002353,ORD002353,18/09/2022,2022-09-28,delhivery,,Delivered
SHP002354,ORD002354,01 Aug 2024,2024-08-11,Delhivery,644.08,Returned to Origin
SHP002355,ORD002355,02/05/2024,2024/05/12,DTDC,233.7,Returned to Origin
SHP002356,ORD002356,04/11/2023,2023/11/14,DELHIVERY,140.28,In Transit
SHP002357,ORD002357,15 Aug 2023,2023-08-20,BlueDart,38.17,Returned to Origin
SHP002358,ORD002358,23-10-2022,26/10/2022,XpressBees,57.96,Delayed
SHP002359,ORD002359,05/31/2022,03/06/2022,XpressBees,111.06,RETURNED TO ORIGIN
SHP002360,ORD002360,12/14/2024,29 Dec 2024,ekart,432.64,Lost
SHP002361,ORD002361,2024/11/13,28-11-2024,DTDC,894.51,In Transit
SHP002362,ORD002362,03-05-2022,06 May 2022,Ekart,381.6,In Transit
SHP002363,ORD002363,17/06/2022,25-06-2022,DTDC,178.57,DELIVERED
SHP002364,ORD002364,11 Jan 2022,12 Jan 2022,Delhivery,290.58,DELIVERED
SHP002365,ORD002365,16-01-2022,2022/01/22,BLUEDART,678.81,Returned to Origin
SHP002366,ORD002366,04/07/2022,2022/07/12,DELHIVERY,115.6,Delivered
SHP002367,ORD002367,25/07/2024,04-08-2024,DTDC,850.64,LOST
SHP002368,ORD002368,,2023/09/07,XpressBees,678.23,In Transit
SHP002369,ORD002369,09/17/2024,2024-09-21,IndiaPost,835.29,Delayed
SHP002370,ORD002370,13-08-2024,16/08/2024,DTDC,295.51,LOST
SHP002371,ORD002371,26/11/2024,11-12-2024,FedEx,399.38,Lost
SHP002372,ORD002372,08-05-2022,11/05/2022,DTDC,865.77,Delivered
SHP002373,ORD002373,09/07/2024,13 Jul 2024,xpressbees,62.73,In Transit
SHP002374,ORD002374,02/09/2024,10 Feb 2024,BLUEDART,674.28,Delivered
SHP002375,ORD002375,01-11-2024,03 Nov 2024,FEDEX,116.48,Delivered
SHP002376,ORD002376,2023-06-07,10/06/2023,XpressBees,764.53,in transit
SHP002377,ORD002377,15-12-2022,22/12/2022,IndiaPost,582.68,Delivered
SHP002378,ORD002378,13-10-2024,10/15/2024,Ekart,399.91,Lost
SHP002379,ORD002379,05/13/2023,21 May 2023,XPRESSBEES,615.29,In Transit
SHP002380,ORD002380,25-05-2024,28/05/2024,BLUEDART,581.88,Lost
SHP002381,ORD002381,02/19/2024,2024-02-22,FedEx,798.03,lost
SHP002382,ORD002382,19/10/2024,2024/10/21,Ekart,106.55,Lost
SHP002383,ORD002383,2022-09-14,2022-09-16,delhivery,127.93,Returned to Origin
SHP002384,ORD002384,2024/01/20,2024-01-26,BLUEDART,431.3,Returned to Origin
SHP002385,ORD002385,19 Feb 2024,2024-02-22,DTDC,816.98,lost
SHP002386,ORD002386,2022-12-17,2022-12-22,ekart,583.96,Delivered
SHP002387,ORD002387,,2022-06-01,FedEx,470.15,Delivered
SHP002388,ORD002388,0000-00-00,09/30/2022,Delhivery,89.66,In Transit
SHP002389,ORD002389,04-05-2022,19/05/2022,XPRESSBEES,246.53,DELIVERED
SHP002390,ORD002390,2023-08-09,15-08-2023,BlueDart,586.74,In Transit
SHP002391,ORD002391,2022-04-02,17/04/2022,DTDC,615.11,Delivered
SHP002392,ORD002392,26 Dec 2022,27/12/2022,DTDC,645.64,delayed
SHP002393,ORD002393,08 Aug 2024,09/08/2024,BlueDart,803.46,Delivered
SHP002394,ORD002394,2023-05-23,2023-05-31,Ekart,403.97,Lost
SHP002395,ORD002395,30 Jul 2022,2022/07/31,FEDEX,306.2,Returned to Origin
SHP002396,ORD002396,01/03/2022,06-01-2022,dtdc,691.42,Delayed
SHP002397,ORD002397,06/23/2024,26 Jun 2024,BLUEDART,197.59,Delayed
SHP002398,ORD002398,21 Mar 2022,2022-03-29,DTDC,62.76,Returned to Origin
SHP002399,ORD002399,15-12-2023,20 Dec 2023,BlueDart,258.35,Returned to Origin
SHP002400,ORD002400,11 May 2022,05/21/2022,Ekart,649.46,delayed
SHP002401,ORD002401,05 Jul 2024,07 Jul 2024,Ekart,630.46,Delayed
SHP002402,ORD002402,2024/06/30,03 Jul 2024,BlueDart,402.46,Delayed
SHP002403,ORD002403,04 Feb 2024,07/02/2024,IndiaPost,248.29,Delayed
SHP002404,ORD002404,17 Aug 2024,18-08-2024,Delhivery,666.81,In Transit
SHP002405,ORD002405,2022/05/06,2022/05/10,XpressBees,88.51,Returned to Origin
SHP002406,ORD002406,08/31/2023,07/09/2023,FedEx,792.04,in transit
SHP002407,ORD002407,21 Nov 2024,01 Dec 2024,IndiaPost,196.66,Lost
SHP002408,ORD002408,2024/06/30,07/08/2024,FedEx,779.76,lost
SHP002409,ORD002409,06/24/2022,2022/07/04,DTDC,718.57,Delivered
SHP002410,ORD002410,2022/06/27,05/07/2022,delhivery,833.16,Delivered
SHP002411,ORD002411,17/10/2022,20 Oct 2022,DTDC,536.95,Delivered
SHP002412,ORD002412,11 Nov 2023,2023-11-12,ekart,624.77,Delayed
SHP002413,ORD002413,06/03/2022,05 Jun 2022,FedEx,665.96,In Transit
SHP002414,ORD002414,2022/07/27,2022-07-30,Delhivery,437.51,In Transit
SHP002415,ORD002415,2024-12-19,29/12/2024,IndiaPost,825.58,LOST
SHP002416,ORD002416,2022/05/17,23/05/2022,fedex,636.93,In Transit
SHP002417,ORD002417,2023/03/16,31/03/2023,XpressBees,148.11,Delivered
SHP002418,ORD002418,31/12/2022,01/06/2023,Ekart,169.82,IN TRANSIT
SHP002419,ORD002419,06 Oct 2023,11 Oct 2023,XpressBees,896.48,Returned to Origin
SHP002420,ORD002420,05/02/2024,17 May 2024,XpressBees,471.93,Returned to Origin
SHP002421,ORD002421,2024-06-28,01 Jul 2024,ekart,111.63,delivered
SHP002422,ORD002422,01/20/2022,01/23/2022,FedEx,593.14,In Transit
SHP002423,ORD002423,07-03-2023,2023/03/12,DTDC,61.36,DELAYED
SHP002424,ORD002424,15/08/2024,2024/08/20,Delhivery,75.14,DELIVERED
SHP002425,ORD002425,2024-09-24,,XpressBees,723.43,Delayed
SHP002426,ORD002426,,02 Sep 2022,FedEx,712.97,In Transit
SHP002427,ORD002427,14-04-2024,04/29/2024,BlueDart,275.2,In Transit
SHP002428,ORD002428,2022/04/13,17 Apr 2022,Ekart,750.83,Delivered
SHP002429,ORD002429,08-08-2022,18-08-2022,EKART,824.39,Returned to Origin
SHP002430,ORD002430,2024/08/07,08/11/2024,Delhivery,518.52,IN TRANSIT
SHP002431,ORD002431,2024-05-28,2024/06/03,DTDC,403.11,LOST
SHP002432,ORD002432,,10/04/2024,Ekart,607.4,Delayed
SHP002433,ORD002433,2024/05/31,06/03/2024,XpressBees,322.17,In Transit
SHP002434,ORD002434,2023-05-31,02-06-2023,BlueDart,515.63,Lost
SHP002435,ORD002435,06/24/2023,28-06-2023,IndiaPost,205.77,Returned to Origin
SHP002436,ORD002436,11-01-2024,2024/01/14,IndiaPost,617.13,Lost
SHP002437,ORD002437,12/01/2024,12/09/2024,FEDEX,732.96,Delivered
SHP002438,ORD002438,2022/12/02,05/12/2022,FEDEX,759.85,in transit
SHP002439,ORD002439,05/05/2022,05/10/2022,Delhivery,,DELIVERED
SHP002440,ORD002440,,11 Jan 2023,ekart,406.97,in transit
SHP002441,ORD002441,01/21/2024,22 Jan 2024,FEDEX,659.36,lost
SHP002442,ORD002442,24/08/2022,27 Aug 2022,IndiaPost,293.8,Delivered
SHP002443,ORD002443,09 Apr 2022,10 Apr 2022,IndiaPost,721.0,returned to origin
SHP002444,ORD002444,2023/11/21,11/24/2023,dtdc,248.28,Delivered
SHP002445,ORD002445,2023/05/01,2023/05/11,IndiaPost,749.36,Lost
SHP002446,ORD002446,05 Jan 2022,2022-01-06,XpressBees,740.59,Returned to Origin
SHP002447,ORD002447,19 Dec 2024,24-12-2024,INDIAPOST,775.12,Delivered
SHP002448,ORD002448,2022/09/06,09/16/2022,XpressBees,306.34,Lost
SHP002449,ORD002449,2022-06-15,06/19/2022,XPRESSBEES,88.08,Delivered
SHP002450,ORD002450,,06/29/2022,XPRESSBEES,147.19,DELIVERED
SHP002451,ORD002451,21-03-2023,03/24/2023,indiapost,462.84,Delayed
SHP002452,ORD002452,01/16/2023,31/01/2023,Ekart,241.67,Lost
SHP002453,ORD002453,02/24/2022,25 Feb 2022,BlueDart,624.26,Delivered
SHP002454,ORD002454,26 May 2023,2023/06/02,BlueDart,559.56,Returned to Origin
SHP002455,ORD002455,2024-09-22,30-09-2024,FedEx,853.42,LOST
SHP002456,ORD002456,19-04-2023,04/27/2023,FedEx,718.54,Lost
SHP002457,ORD002457,10/02/2022,13 Feb 2022,IndiaPost,614.7,Lost
SHP002458,ORD002458,07/16/2022,24/07/2022,IndiaPost,644.95,Delivered
SHP002459,ORD002459,12 Mar 2023,19/03/2023,indiapost,461.65,In Transit
SHP002460,ORD002460,2022/10/08,11 Oct 2022,indiapost,513.85,Delayed
SHP002461,ORD002461,2022/10/02,2022/10/08,XpressBees,365.24,Returned to Origin
SHP002462,ORD002462,2022/10/25,2022-11-02,BLUEDART,97.87,Delivered
SHP002463,ORD002463,12/10/2023,20/10/2023,FedEx,70.85,Delivered
SHP002464,ORD002464,09-06-2023,,Delhivery,334.08,Lost
SHP002465,ORD002465,,2023-12-20,DTDC,229.2,Lost
SHP002466,ORD002466,,27 Sep 2022,FEDEX,561.45,Delayed
SHP002467,ORD002467,0000-00-00,27-03-2024,INDIAPOST,,delivered
SHP002468,ORD002468,11/11/2022,14/11/2022,IndiaPost,372.75,Delayed
SHP002469,ORD002469,11/17/2024,2024-12-02,FEDEX,127.15,Delivered
SHP002470,ORD002470,31/03/2023,2023/04/10,XpressBees,143.14,Delivered
SHP002471,ORD002471,2024-12-18,25-12-2024,BlueDart,248.43,In Transit
SHP002472,ORD002472,12/17/2022,12/20/2022,dtdc,260.74,In Transit
SHP002473,ORD002473,15/05/2022,21/05/2022,IndiaPost,672.57,In Transit
SHP002474,ORD002474,2023-03-14,21 Mar 2023,xpressbees,,Delayed
SHP002475,ORD002475,2022/05/28,03-06-2022,Delhivery,152.51,Returned to Origin
SHP002476,ORD002476,26 Jun 2022,29/06/2022,BlueDart,543.81,Lost
SHP002477,ORD002477,08 Jun 2024,12-06-2024,IndiaPost,505.3,Returned to Origin
SHP002478,ORD002478,05-05-2022,10-05-2022,BlueDart,348.11,In Transit
SHP002479,ORD002479,02 Aug 2022,2022-08-08,Ekart,717.03,Delayed
SHP002480,ORD002480,2023-04-26,,IndiaPost,640.4,Delivered
SHP002481,ORD002481,09-01-2023,2023-01-10,BLUEDART,716.48,Delayed
SHP002482,ORD002482,01/12/2024,2024-01-27,ekart,173.0,Lost
SHP002483,ORD002483,04/22/2023,04/25/2023,FedEx,255.49,Lost
SHP002484,ORD002484,2023/06/18,06/28/2023,DELHIVERY,322.96,Returned to Origin
SHP002485,ORD002485,01-09-2024,2024-09-04,DTDC,430.13,Returned to Origin
SHP002486,ORD002486,16/02/2024,19-02-2024,FedEx,848.45,In Transit
SHP002487,ORD002487,2022/02/25,02/03/2022,Ekart,85.25,Delayed
SHP002488,ORD002488,01 Jan 2025,03/01/2025,FedEx,550.8,DELAYED
SHP002489,ORD002489,17 Dec 2023,27-12-2023,FedEx,591.73,Delayed
SHP002490,ORD002490,21/04/2022,06-05-2022,DTDC,113.85,returned to origin
SHP002491,ORD002491,29-11-2023,0000-00-00,XpressBees,163.74,In Transit
SHP002492,ORD002492,2022-11-05,11/13/2022,Ekart,60.74,Returned to Origin
SHP002493,ORD002493,2022/11/04,2022-11-09,XpressBees,336.96,delayed
SHP002494,ORD002494,31/05/2023,15 Jun 2023,delhivery,270.32,Delayed
SHP002495,ORD002495,16/09/2023,22/09/2023,fedex,621.39,IN TRANSIT
SHP002496,ORD002496,2024-01-04,01/14/2024,DTDC,,DELAYED
SHP002497,ORD002497,08/18/2022,08/23/2022,fedex,873.45,Delivered
SHP002498,ORD002498,,2024/02/06,XpressBees,654.22,In Transit
SHP002499,ORD002499,,16/08/2023,FEDEX,711.66,RETURNED TO ORIGIN
SHP002500,ORD002500,30-09-2023,0000-00-00,DTDC,92.86,Returned to Origin
SHP002501,ORD002501,0000-00-00,02/27/2023,Ekart,76.01,In Transit
SHP002502,ORD002502,2022/12/27,29 Dec 2022,XpressBees,595.36,Delayed
SHP002503,ORD002503,08/08/2022,18/08/2022,FedEx,507.85,In Transit
SHP002504,ORD002504,31 Aug 2024,2024/09/04,IndiaPost,680.91,Delivered
SHP002505,ORD002505,08/13/2024,16-08-2024,Delhivery,288.27,In Transit
SHP002506,ORD002506,27-08-2024,2024/08/31,XpressBees,884.33,LOST
SHP002507,ORD002507,2023/02/16,,bluedart,200.62,RETURNED TO ORIGIN
SHP002508,ORD002508,04/25/2022,2022-04-27,Ekart,871.14,Delayed
SHP002509,ORD002509,17/11/2023,21/11/2023,bluedart,134.83,Returned to Origin
SHP002510,ORD002510,28-01-2022,2022-01-29,DTDC,700.72,In Transit
SHP002511,ORD002511,04 Dec 2024,12/08/2024,Delhivery,254.85,DELIVERED
SHP002512,ORD002512,2022/10/13,17 Oct 2022,Delhivery,332.35,Returned to Origin
SHP002513,ORD002513,2024-08-21,26-08-2024,XpressBees,754.43,In Transit
SHP002514,ORD002514,07/09/2023,2023-07-24,IndiaPost,698.34,Delayed
SHP002515,ORD002515,,23-03-2024,DTDC,40.32,IN TRANSIT
SHP002516,ORD002516,12/18/2023,12/21/2023,DTDC,538.05,Delayed
SHP002517,ORD002517,0000-00-00,02/05/2023,DTDC,448.74,Delayed
SHP002518,ORD002518,,03/08/2024,Delhivery,171.45,LOST
SHP002519,ORD002519,12/18/2024,28/12/2024,IndiaPost,589.26,Delivered
SHP002520,ORD002520,13-09-2024,18 Sep 2024,IndiaPost,269.47,delivered
SHP002521,ORD002521,11-03-2024,16/03/2024,DELHIVERY,580.42,Lost
SHP002522,ORD002522,2023-07-19,22 Jul 2023,DTDC,881.8,Delivered
SHP002523,ORD002523,2023/06/22,2023-07-07,Ekart,854.53,DELIVERED
SHP002524,ORD002524,16-04-2024,04/26/2024,DTDC,756.41,DELAYED
SHP002525,ORD002525,20/06/2022,2022-06-23,BlueDart,464.51,Returned to Origin
SHP002526,ORD002526,2024-05-14,2024-05-20,BlueDart,78.71,Lost
SHP002527,ORD002527,2023-06-29,2023/07/04,dtdc,554.3,Delivered
SHP002528,ORD002528,05/15/2023,2023/05/19,xpressbees,728.9,IN TRANSIT
SHP002529,ORD002529,16 Jan 2023,2023/01/20,FedEx,868.15,In Transit
SHP002530,ORD002530,2024/10/30,04/11/2024,FedEx,661.62,RETURNED TO ORIGIN
SHP002531,ORD002531,2024-11-08,11/13/2024,FedEx,57.48,Lost
SHP002532,ORD002532,12/06/2024,14 Dec 2024,FedEx,758.97,In Transit
SHP002533,ORD002533,30/01/2022,06/02/2022,BlueDart,246.1,Lost
SHP002534,ORD002534,01/02/2022,02/02/2022,Delhivery,708.71,Lost
SHP002535,ORD002535,2023-05-10,13/05/2023,xpressbees,242.48,RETURNED TO ORIGIN
SHP002536,ORD002536,16/06/2022,18-06-2022,delhivery,284.94,Returned to Origin
SHP002537,ORD002537,20 Sep 2023,2023/09/21,dtdc,177.18,Returned to Origin
SHP002538,ORD002538,17/08/2022,21/08/2022,fedex,121.27,In Transit
SHP002539,ORD002539,06/15/2022,30 Jun 2022,XpressBees,302.9,Lost
SHP002540,ORD002540,2023/02/08,18 Feb 2023,DTDC,806.28,Delivered
SHP002541,ORD002541,10 Sep 2023,18 Sep 2023,delhivery,612.2,Delivered
SHP002542,ORD002542,2023/07/20,2023/07/30,BLUEDART,748.1,returned to origin
SHP002543,ORD002543,01/08/2022,23/01/2022,IndiaPost,561.8,lost
SHP002544,ORD002544,24-08-2022,2022/09/08,XpressBees,280.99,delayed
SHP002545,ORD002545,17 Dec 2022,23/12/2022,XpressBees,332.5,Lost
SHP002546,ORD002546,19-11-2022,2022-11-29,XpressBees,797.23,Lost
SHP002547,ORD002547,09/06/2023,19 Jun 2023,ekart,502.83,In Transit
SHP002548,ORD002548,10/26/2022,11/05/2022,Delhivery,788.11,RETURNED TO ORIGIN
SHP002549,ORD002549,21-01-2023,2023/01/31,Ekart,741.68,Returned to Origin
SHP002550,ORD002550,2024/11/16,18-11-2024,DTDC,446.27,DELIVERED
SHP002551,ORD002551,2023-10-08,2023-10-16,FedEx,279.18,RETURNED TO ORIGIN
SHP002552,ORD002552,2024-12-07,0000-00-00,XpressBees,707.71,Delivered
SHP002553,ORD002553,2024/03/18,28/03/2024,FedEx,558.37,In Transit
SHP002554,ORD002554,2022/02/21,02/27/2022,Ekart,209.55,RETURNED TO ORIGIN
SHP002555,ORD002555,2022-04-25,26-04-2022,DTDC,346.98,In Transit
SHP002556,ORD002556,2023/01/05,2023/01/12,DELHIVERY,268.96,Delivered
SHP002557,ORD002557,03/05/2023,06 Mar 2023,EKART,521.2,Returned to Origin
SHP002558,ORD002558,02-04-2023,17 Apr 2023,IndiaPost,610.23,In Transit
SHP002559,ORD002559,17 Feb 2024,2024/02/21,FEDEX,449.6,Delivered
SHP002560,ORD002560,06/15/2023,18-06-2023,FedEx,886.79,RETURNED TO ORIGIN
SHP002561,ORD002561,2024/04/11,04/19/2024,IndiaPost,663.09,Delivered
SHP002562,ORD002562,2022/01/12,18 Jan 2022,BlueDart,849.94,Delayed
SHP002563,ORD002563,2022-04-30,04/05/2022,BlueDart,54.26,delivered
SHP002564,ORD002564,06-05-2024,09/05/2024,BlueDart,707.15,Delivered
SHP002565,ORD002565,14/12/2022,2022/12/20,BlueDart,501.64,IN TRANSIT
SHP002566,ORD002566,2023/05/10,18/05/2023,Delhivery,880.6,Returned to Origin
SHP002567,ORD002567,10/05/2023,05/18/2023,Ekart,400.67,Returned to Origin
SHP002568,ORD002568,2024-03-26,2024-03-27,BlueDart,49.39,IN TRANSIT
SHP002569,ORD002569,2024/05/21,24-05-2024,XpressBees,307.0,delayed
SHP002570,ORD002570,02/25/2022,2022-02-26,Ekart,500.3,Lost
SHP002571,ORD002571,,2024-07-10,delhivery,634.85,Delivered
SHP002572,ORD002572,2023/03/12,2023-03-27,delhivery,63.02,returned to origin
SHP002573,ORD002573,15/03/2024,18-03-2024,fedex,136.59,Returned to Origin
SHP002574,ORD002574,22-02-2023,02/03/2023,Delhivery,626.48,RETURNED TO ORIGIN
SHP002575,ORD002575,04 Oct 2024,2024/10/06,BLUEDART,740.1,In Transit
SHP002576,ORD002576,05/26/2024,29/05/2024,XpressBees,750.84,Delayed
SHP002577,ORD002577,10/12/2022,18/10/2022,Delhivery,478.16,Lost
SHP002578,ORD002578,2024/08/03,10-08-2024,xpressbees,34.38,Delivered
SHP002579,ORD002579,2024-10-10,2024/10/16,IndiaPost,780.12,Lost
SHP002580,ORD002580,17/08/2023,19 Aug 2023,FedEx,867.6,In Transit
SHP002581,ORD002581,23/11/2024,08-12-2024,Delhivery,405.28,DELAYED
SHP002582,ORD002582,28/12/2022,01/05/2023,FedEx,109.15,RETURNED TO ORIGIN
SHP002583,ORD002583,13/02/2023,16/02/2023,DTDC,131.62,In Transit
SHP002584,ORD002584,2024-05-26,2024/05/31,dtdc,93.21,Lost
SHP002585,ORD002585,2024/04/17,27/04/2024,XPRESSBEES,145.88,Lost
SHP002586,ORD002586,24/10/2024,28 Oct 2024,EKART,322.78,DELIVERED
SHP002587,ORD002587,06/02/2024,07 Feb 2024,BlueDart,746.89,Delivered
SHP002588,ORD002588,11/17/2022,21 Nov 2022,FedEx,32.32,Returned to Origin
SHP002589,ORD002589,29 Sep 2024,2024-10-02,Ekart,370.18,Returned to Origin
SHP002590,ORD002590,2022/06/10,2022-06-13,Delhivery,405.47,Delayed
SHP002591,ORD002591,12/25/2024,0000-00-00,Ekart,580.22,Returned to Origin
